j,k,gamma_k,p_j_gamma_k
1,1,14.134725141734696,0.5507908617244931
1,2,21.02203963877156,0.29896134116633677
1,3,25.01085758014569,0.43572392087236267
1,4,30.424876125859512,0.3876956291549952
1,5,32.93506158773919,0.3175880037105448
2,1,14.134725141734696,0.35236947372815747
2,2,21.02203963877156,0.24410559028575549
2,3,25.01085758014569,0.04622237862391919
2,4,30.424876125859512,0.06253631693967521
2,5,32.93506158773919,0.10733967652786523
3,1,14.134725141734696,0.0909441871534303
3,2,21.02203963877156,0.3452035778373558
3,3,25.01085758014569,0.2766283997543467
3,4,30.424876125859512,0.0850278305112513
3,5,32.93506158773919,0.022832618735608278
4,1,14.134725141734696,0.002958622816845579
4,2,21.02203963877156,0.10446075646776025
4,3,25.01085758014569,0.20894107236047185
4,4,30.424876125859512,0.29393850971852636
4,5,32.93506158773919,0.26275032041717816
5,1,14.134725141734696,0.0019217710308696407
5,2,21.02203963877156,0.0021483868360298447
5,3,25.01085758014569,0.02741635501005067
5,4,30.424876125859512,0.15523444398771827
5,5,32.93506158773919,0.24478298406170265
6,1,14.134725141734696,0.00035015538678445933
6,2,21.02203963877156,0.003462272325928069
6,3,25.01085758014569,0.001645967767066157
6,4,30.424876125859512,0.008851259839897627
6,5,32.93506158773919,0.037772285721304893
7,1,14.134725141734696,0.00031401013289818815
7,2,21.02203963877156,0.00037310677600048273
7,3,25.01085758014569,0.0020370777886755164
7,4,30.424876125859512,0.0038766029585217193
7,5,32.93506158773919,0.0018518282665338098
8,1,14.134725141734696,9.654957789737953e-05
8,2,21.02203963877156,0.0006399883851376245
8,3,25.01085758014569,0.00033068898707748517
8,4,30.424876125859512,0.0010285724898575958
8,5,32.93506158773919,0.0030508894282724455
9,1,14.134725141734696,9.262388444499807e-05
9,2,21.02203963877156,0.00012596801657010993
9,3,25.01085758014569,0.00046832244809465493
9,4,30.424876125859512,0.0007505789305334945
9,5,32.93506158773919,0.00039636288885452827
10,1,14.134725141734696,3.738073733043372e-05
10,2,21.02203963877156,0.00020054978933291422
10,3,25.01085758014569,0.00011708785981383225
10,4,30.424876125859512,0.00029169165628873864
10,5,32.93506158773919,0.0007383948393276903
11,1,14.134725141734696,3.667213946863055e-05
11,2,21.02203963877156,5.5377492837981446e-05
11,3,25.01085758014569,0.00016406658035937786
