j,nu_j,lambda_j,N_j_sq,p_j_infty,lambda_partial_sum,p_infty_partial_sum
1,4.168481379323213,0.05673360680705888,0.2169159557558469,0.34899487654178835,0.05673360680705888,0.34899487654178835
2,11.727270109057999,0.007258007283831098,0.20454705587503996,0.04794126090810819,0.06399161409088998,0.39693613744989653
3,19.43374225858699,0.0026460602909963785,0.20339406912683128,0.017597383247612435,0.06663767438188636,0.414533520697509
4,27.163814664385413,0.0013547880694874679,0.20307125107145407,0.009027132755433456,0.06799246245137383,0.4235606534529424
5,34.90187332237411,0.000820754746073316,0.20293774274060053,0.005473126489667642,0.06881321719744715,0.42903377994261005
6,42.643580929242226,0.0005498357382458779,0.20287001298864366,0.0036680009152034385,0.06936305293569303,0.43270178085781347
7,50.38725813328036,0.000393836338087027,0.20283101313860394,0.00262792333802143,0.06975688927378006,0.4353297041958349
8,58.13211868452403,0.00029589359845674643,0.20280652745369637,0.0019746746118344946,0.0700527828722368,0.43730437880766937
9,65.87774556214325,0.00023040798505950886,0.20279015605034706,0.0015377993359986558,0.07028319085729631,0.43884217814366805
10,73.62389705293559,0.0001844770591552061,0.202778673318871,0.0012313289459686143,0.07046766791645152,0.44007350708963666
11,81.37042340861987,0.00015102555855963864,0.2027703104437221,0.0010081002356363412,0.07061869347501117,0.441081607325273
12,89.11722691383919,0.00012591080519677286,0.20276403175538138,0.0008404897891718591,0.07074460428020794,0.44192209711444486
13,96.86424109555588,0.00010657650347882275,0.2027591981799519,0.0007114483241605325,0.07085118078368677,0.4426335454386054
14,104.61141916232938,9.1375947077386e-05,0.20275539804085155,0.0006099912061764979,0.07094255673076415,0.4432435366447819
15,112.35872722279561,7.920959229876629e-05,0.2027523564521569,0.0005287827714905893,0.07102176632306291,0.4437723194162725
16,120.10614012711673,6.932055851525593e-05,0.202749884193711,0.00046277292406182247,0.07109108688157817,0.4442350923403343
17,127.85363881956508,6.117404133905778e-05,0.20274784756441697,0.0004083930168201902,0.07115226092291722,0.4446434853571545
18,135.60120859823297,5.4383477490986384e-05,0.20274614992345494,0.0003630634109647227,0.0712066444004082,0.4450065487681192
19,143.34883793885353,4.866383859349039e-05,0.20274472001373056,0.00032488192955552365,0.0712553082390017,0.4453314306976747
20,151.09651768034777,4.380123277279294e-05,0.2027435043622754,0.00029242106778448095,0.0712991094717745,0.4456238517654592
21,158.84424044864448,3.963261717393932e-05,0.2027424622083757,0.0002645926415869092,0.07133874208894843,0.4458884444070461
22,166.59200024123206,3.603195300630147e-05,0.20274156204233376,0.00024055541165671798,0.07137477404195473,0.44612899981870285
23,174.3397921224575,3.290056682546699e-05,0.20274077919578856,0.00021965076805444814,0.0714076746087802,0.4463486505867573
24,182.08761199659534,3.0160318582555484e-05,0.20274009413372784,0.0002013571407468884,0.07143783492736275,0.4465500077275042
25,189.835456436477,2.774867980266035e-05,0.20273949122403287,0.00018525715482340977,0.07146558360716541,0.4467352648823276
26,197.5833225524299,2.5615135077003485e-05,0.20273895783785145,0.00017101361557824175,0.07149119874224241,0.4469062784979059
27,205.33120789088437,2.371851533875418e-05,0.2027384836829169,0.00015835171127272503,0.07151491725758116,0.4470646302091786
28,213.07911035509915,2.2024997051610675e-05,0.2027380603033451,0.00014704565965037943,0.07153694225463278,0.447211675868829
29,220.82702814256717,2.050658383673796e-05,0.2027376807000414,0.00013690857397396914,0.07155744883846951,0.44734858444280295
30,228.57495969515776,1.913994203466321e-05,0.20273733903959085,0.00012778469110727973,0.07157658878050417,0.44747636913391026
